,tweet
17, माजी राष्ट्रपती भारतरत्न डॉ सर्वपल्ली राधाकृष्णन यांना जयंतीदिनी विनम्र अभिवादन शिक्षक दिनाच्या हार्दिक शुभेच्छा शिक्षकदिवस 
18, पवार साहेबांची कायम भूमिका आहे की गावागावात शहराशहरात एखाद्या वस्तीचे नाव जातीवरून नसावे जात आणि त्यावर आधारीत वस्ती हे समीकरण पुसण्याचे काम आम्ही करणार आहोत याबाबत मंत्रिमंडळ बैठकीत तसा निर्णय घेऊ समानतेचा विचार रूजवण्याचा आम्ही प्रयत्न करू 
19, वैद्यकीय अधिकारी कर्मचारी पोलीस प्रशासन सर्वांनी घेतलेल्या कठोर मेहनतीमुळे जिल्ह्यातील रूग्ण कोरोनामुक्त झाले आहेत सर्वांचे हार्दिक अभिनंदन आपण सर्वजण मिळून कोरोनाला हरवूया 
20, संघटनेत जयदीप सारखे सहकारी पाहीजेत मोठ्या मनाचे 
21, माननीय राज्यपाल जी यांना वाढदिवसाच्या हार्दिक शुभेच्छा आपणास उत्तम आरोग्य व सुख समृद्धी लाभो अशी ईश्वरचरणी प्रार्थना 
22, आज गुरुपौर्णिमा माझ्या जीवनातील माझे गुरू आई बाबा माझे गुरुजन माझे बंधु माझी पत्नी माझी मुले माझ्या आयुष्याच्या वाटचालीत मला वेळोवेळी मार्गदर्शन व आधार देणारी माझी सर्व मिञमंडळी नातेवाईक ज्ञात अज्ञात व्यक्ती आपण सर्वजण मला वंदनीय व गुरुतुल्य आहे सर्वांना मनःपूर्वक धन्यवाद 
23, स्वातंत्र्य समता बंधूत्त्वावर आधारित संविधान त्यांनी आपल्याला दिले खर्या अर्थाने स्वत विष पचवून त्यांनी इतरांना अमृत दिले त्यामुळे ते महामानव ठरले 
24, सांगलीतून महाजनादेशयात्रा कोल्हापूर जिल्ह्यात प्रवेशली जयसिंगपूर येथे असे भव्य स्वागत नागरिकांनी केले सर्वांचे मनःपूर्वक आभार 
25, गणेशोत्सवाच्या सर्वांना हार्दिक शुभेच्छा गणरायाच्या आगमनाने सर्वांच्या मनोकामना सफल होवोत सर्वांना सुख समृध्दी आणि यशप्राप्ती लाभो हीच प्रार्थना गणपतीबाप्पामोरया मंगलमूर्तीमोरया गणेश चतुर्थी 
26, या नवीन उपकरणांच्या सहाय्यानं ‘चेस द व्हायरस’ या अभियानाला गती येणार आहे त्यामुळं कोरोना बाधितांना ओळखणं सोपं होणार असून कोरोना विषाणूची साखळी तोडण्यास मदत होणार आहे 
27, जनसंघर्षयात्रा शहादा येथील सभेला अतिशय उत्स्फूर्त प्रतिसाद मा अशोकराव चव्हाण मा पृथ्वीराज चव्हाण मा बाळासाहेब थोरात मा नसीम खान मा बी संदीपजी मा माणिकराव गावित मा पद्माकर वळवी आदी नेते उपस्थित 
28, मनोरंजन क्षेत्राला आता मोकळीक द्यायला हवी मात्र तिथे उगाच काही अतार्किक नियम लावता कामा नये आज जगातील अनेक देशांत सगळं सुरळीत झालं आहे पुरेशी काळजी घ्यायला पाहिजे पण आता बंद ठेवणं हा मार्ग नाही 
29, डॉक्टर नर्सेस पॅरामेडिकल स्टाफ सफाई कर्मचारी पोलीस पत्रकार शासकीय व स्वयंसेवी यंत्रणेतील व्यक्ती जोखीम पत्करून कोरोनाशी लढत आहेत परंतु हे कर्तव्य बजावताना या सर्वांनी स्वत ची आणि कुटुंबाच्या आरोग्याचीही काळजी घ्यावी संबंधीत यंत्रणांच्या प्रमुखांनीही आवश्यक उपाययोजना कराव्यात 
30, खासदार सुभाष भामरेजी यांनी मुख्यमंत्री सहायता निधीसाठी दोन लाख रूपयांचे योगदान दिले मी त्यांचा आभारी आहे 
31, चिपळूण विधानसभा मतदारसंघाचे आमदार शेखर निकम यांना विधानभवन येथे भेटून शुभेच्छा दिल्या आम्ही 
32, शिवस्वराज्य यात्रा टप्पा तिसरा शिवस्वराज्य यात्रेच्या पहिल्या दिवसाची सुरुवात गडचिरोली मधुन झाली राज्यात तरुणाईने शिवस्वराज्य यात्रा डोक्यावर घेऊन राज्यात पुन्हा एकदा शिवस्वराज्य घेऊन येण्याची प्रतिज्ञा केली हे आजच्या दौऱ्याने सिद्ध केले शिवस्वराज्ययात्रा 
33, एसडीआरएफ आणि एनडीआरएफ देण्यात येणाऱ्या प्रचलित दरांपेक्षा वाढीव मदत करण्याचा निर्णय राज्य मंत्रिमंडळानं जूनच्या बैठकीत घेतला आहे त्यामुळे चक्रीवादळानं नुकसान झालेल्या घरांच्या शेतीच्या कौटुंबिक साहित्यापोटी संबंधित कुटुंबांना आता प्रचलित नियमांपेक्षा अधिक दरानं मदत मिळणार आहे 
34, सर्व प्रमुख पिकांच्या आधारभूत किमतीत वाढ करण्याच्या ऐतिहासिक निर्णयाबद्दल मा पंतप्रधान श्री नरेंद्र मोदीजी यांचे मनःपूर्वक आभार उत्पादन खर्चाच्या दीडपट भाव प्राप्त होण्यामुळे शेतकऱ्यांना मोठा दिलासा मिळेल शेतकरी बांधवांचे उत्पन्न दुप्पट करण्याच्या दिशेने हे एक महत्वपूर्ण पाऊल 
35, श्रीकृष्ण जन्माष्टमीच्या सर्वाना हार्दिक शुभेच्छा 
36, पुरे झाली डीजे डाॅल्बी पुरे झाल्या स्पीकर्सच्या भिंती कारण आता ढोलताशाची बारी आहे म्हणूनच मंडळ भारी आहे 
37, रुग्णालयाच्या उभारणीमध्ये उद्योजक महानगर पालिकेचे अधिकारी लोकप्रतिनिधी सामाजिक संघटना या सर्वांनी चांगलं काम केलं आहे त्यांच्या माध्यमातून चांगली आरोग्य सेवा दिली जाईल या कोविड रुग्णालयाचा पुणेकरांना चांगला उपयोग होईल 
38, कोरोनाची साखळी तोडण्यासाठी सोशल डिस्टन्सिंग हाच सर्वोत्तम उपाय आहे या कोरोनारूपी संकटाच्या काळात सोशल डिस्टन्सिंगची ताकद ओळखूया 
39, राष्ट्रीय चित्रपट पुरस्कार वितरण सोहोळ्यात अनेक मराठी चित्रपटांनी बाजी मारली ‘धप्पा’ ‘पावसाचा निबंध’ ‘म्होरक्या’ ‘कच्चा लिंबू’ ‘भर दुपारी’ ‘मयत’ अशा निरनिराळ्या चित्रपट लघुपटांनी पुरस्कार पटकाविले पुरस्कारप्राप्त सर्व दिग्दर्शक निर्माते कलावंत यांचे मन पूर्वक अभिनंदन 
40, भारताच्या स्वातंत्र्यासाठी सर्वस्व अर्पण करणाऱ्या तेजस्वी क्रांतिकारकांना विनम्र अभिवादन 
41, भारिप बहुजन महासंघाचे राष्ट्रीय अध्यक्ष जी यांना वाढदिवसाच्या हार्दिक शुभेच्छा 
42, तंत्रज्ञानाची जोड आणि प्रशिक्षणाने बदलली शेती 
43, संकटात जो यशस्वी होतो तो खरा प्रशासक विलासराव देशमुखांनी आपल्या राजकीय कारकीर्दीत अनेक संकटांवर मात करत प्रशासनावर आपली मजबूत पकड असल्याचे सिद्ध केले त्यांची स्मृती राज्याला सतत प्रेरणादायी ठरेल विलासराव देशमुख यांना जयंतीनिमित्त विनम्र अभिवादन 
44, आधुनिक भारताच्या विकासाचा पाया ज्यांच्या विचारावर उभा आहे ते देशाचे प्रथम पंतप्रधान पंडित जवाहरलाल नेहरु यांचा आज जन्मदिन केवळ राजकारणच नव्हे तर एक तत्वचिंतक अभ्यासक आणि इतिहासतज्ज्ञ म्हणून त्यांचे अविस्मरणीय योगदान आहे पं नेहरु यांना विनम्र अभिवादन बालदिन नेहरू 
45, परळी नगर परिषदेचे अभिलेख विभाग प्रमुख प्रकाश तुसाम यांनी स्वखर्चातून थायलंड येथून तथागत भगवान गौतम बुद्धांची भव्य मूर्ती आणून सूर्यप्रकाश बौद्धविहारची निर्मिती केली आहे आज माझ्या हस्ते सूर्यप्रकाश बौद्धविहाराचे लोकार्पण करण्यात आले 
46, आदरणीय पवार साहेब आणि मा सौ प्रतिभाताई पवार यांच्या वाढदिवसानिमित्त बारामतीत गिरीराज हॉस्पिटलच्यावतीनं आयोजित मोफत कॅन्सर निदान व उपचार शिबिराला उपस्थित होतो कॅन्सरसारख्या जीवघेण्या आजारावर वेळीच उपचार अतिशय आवश्यक असून शिबिराचा मोठ्या संख्येनं लोकांना लाभ झाला याचा मला आनंद आहे 
47, मकर संक्रांतीच्या हार्दिक शुभेच्छा 
48, निश्चयाचा महामेरू बहुत जनासी आधारू अखंडस्थितीचा निर्धारू श्रीमंत योगी छत्रपतींचा राज्याभिषेक म्हणजे एक ऐतिहासिक सुवर्ण क्षण मंगल पवित्र क्षण आपल्या अस्तित्वाला वेगळेच कोंदण देणारा क्षण म्हणजे मंगलदायी सोहळ्याची आठवण छत्रपती शिवाजी महाराजांना मानाचा मुजरा शिवराज्याभिषेक 
49, महाराष्ट्राचे मुख्यमंत्री म्हणून शपथ घेतल्याबद्दल उद्धवजी ठाकरे यांचे मन पूर्वक अभिनंदन महाराष्ट्राच्या उज्ज्वल भवितव्यासाठी ते योग्य परिश्रम घेतील याची मला पूर्ण खात्री आहे 
50, धुळ्याने आम्हाला आशीर्वाद दिले आणि महिन्यात कोटी रुपये या शहराच्या विकासासाठी दिले 
51, युवाशक्ती हीच देशाची खरी शक्ती आहे 
52, खुल्या मतदारसंघातून मागासवर्गीय समाजाचा उमेदवार निवडून येईल तेव्हा भारतात समता प्रस्थापित होईल असे डॉ बाबासाहेब आंबेडकर म्हणाले होते मला अभिमान आहे की पवार साहेबांनी प्रकाश आंबेडकर गवई साहेब कवाडे सर आठवले साहेबांना खुल्या मतदारसंघातून निवडून आणले खरी समता प्रस्थापित केली 
53, सर्व ख्रिस्ती बांधवांना नाताळ सणाच्या हार्दिक शुभेच्छा 
54, स्वतंत्र भारताचे पहिले शिक्षण मंत्री थोर स्वातंत्र्यसैनिक मौलाना अबुल कलाम आझाद यांना स्मृतीदिनी विनम्र अभिवादन 
55, डॉ शंकरराव चव्हाण जन्मशताब्दी वर्षानिमित्त आज नांदेड येथे प्रख्यात विचारवंत आणि साहित्यिक प्रा शेषराव मोरे यांचे हैद्राबाद मुक्तिचे राष्ट्रीय महत्व या विषयावर व्याख्यान आयोजित करण्यात आले होते यावेळी ज्येष्ठ पत्रकार संपादक मधुकर भावे देखील उपस्थित होते 
56, वेगवेगळ्या मार्गाने निवडणुकांना सामोरे गेलेलो असलो तरी महाराष्ट्राला क्रमांक चं राज्य बनवण्यासाठी योग्य कारभार करत ते जी पावलं टाकतील त्या पावलांना आपली अखंड साथ मिळावी असा विश्वास आपल्या सगळ्यांच्या वतीने मी देतो त्या जोरावर महाराष्ट्राची जपणूक करणारे काम त्यांच्याकडून होईल 
57, पुणे पिंपरी चिंचवडच्या झोपडपट्टी धारकांना सर्व सुविधायुक्त हक्काची घरं मिळवून देण्यासाठी राज्य सरकार कटिबद्ध आहे वर्षभरात अधिकाधिक घरं देण्यासाठी सरकार प्रयत्नशील राहील प्राधिकरण अधिकारी कर्मचाऱ्यांनी झोपडपट्टी धारकांना चांगल्या सुविधा तत्काळ उपलब्ध करून देण्याबाबत निर्देश दिले 
58, यावेळी बारामती शहर ते माळेगाव येथील प्रस्तावित सेवा रस्ता बारामती नगरपरिषद वाहनतळ बारामती तालुका सहकारी खरेदी विक्री संघ गौतम बाग येथील कॅनलच्या दोन्ही बाजूला वाढवण्यात येणाऱ्या रस्त्यांच्या कामाची पाहणी केली 
59, पुण्यातील मानाच्या गणपतींचे आज दर्शन घेण्याचे भाग्य लाभले बाप्पा मोरया ऽऽऽ 
60, पश्चिम महाराष्ट्रातील सर्व जागांवर महायुतीचेच उमेदवार विजयी होणार 
61, इचलकरंजी ता हातकंणगले येथे देशातील प्रत्येक लोकसभा मतदारसंघातील मोठ्या शहरात पासपोर्ट सेवा सुरू करण्याच्या तत्कालीन परराष्ट्र खात्याचे सचिव ज्ञानेश्वर मुळे यांच्या संकल्पनेतून हातकंणगले लोकसभा मतदारसंघात इचलकरंजी येथे व्या पासपोर्ट कार्यालयाचे उदघाटन करण्यात आले 
62, पुणे ग्रामीण पोलीस स्मार्ट पोलीसींग या पुस्तिकाच्या प्रकाशनाचा कार्यक्रम देखील पार पडला यावेळी पुणे जिल्ह्यातील पोलीस स्टेशनच्या इमारतीसोबतच आधुनिक सोईसुविधेसाठी निधी उपलब्ध करून देण्यासाठी सर्वतोपरी मदत करणार असल्याचं स्पष्ट केलं 
63, अहमदनगर जिल्हा दुधातील भेसळ थांबविण्यासाठीची शेतकऱ्यांची तळमळ वाखाणण्यासारखी आहे राजेश वनगळे यांनी शेतकरी गटासाठी मोठा पुढाकार घेतला शेतकरी एकत्र आले प्रक्रिया उद्योगासाठी मोठा पुढाकार घेण्यात आला आहे लोकसंवाद 
64, महिला अधिकारांच्या खंद्या पुरस्कर्त्या प्रगती महिला मंडळाच्या संस्थापक अध्यक्षा स्व सौ कुसुमताई शंकरराव चव्हाण यांना स्मृतिदिनी भावपूर्ण आदरांजली 
65, कणखर नेतृत्त्व विकासाची दृष्टी पर्यावरण रक्षणाची आस असे अनेक गुण ज्यांच्या ठायी एकवटले होते त्या पंतप्रधान इंदिराजी गांधी यांची आज जयंती यानिमित्ताने त्यांना विनम्र अभिवादन 
66, राज्य सांस्कृतिक पुरस्कार आणि संगीत नाटक अकादमी पुरस्कार विजेत्यांचे अभिनंदन पुरस्कारांच्या श्रेणींचे पुनर्मूल्यांकन केले पाहिजे त्यात नवीन कलाप्रकारांचा समावेश करून त्यांचे महत्त्व आणि योगदान यांचाही यथोचित सन्मान होणे गरजेचे आहे  कलेप्रति एकनिष्ठ हा आमुचा पुरोगामी महाराष्ट्र 
67, संपूर्ण कायदेशीर प्रक्रिया पूर्ण करूनच मराठा आरक्षणाचा निर्णय घेण्यात आला आहे 
68, होळीच्या ग्रामीण प्रथांमुळे शिमगा वा धुळवड या शब्दांना वेगळे अर्थ मिळाले मनातील बेरंगी किल्मिषं काढून सामाजिक स्वास्थ्य टिकवण्याची सांस्कृतिक प्रगल्भता या सणामुळे मिळाली कालबाह्य विचारांना अग्नी देऊन पुरोगामी विचारांचे रंग भरण्यासाठी होलिकोत्सवाच्या अनेक हार्दिक शुभेच्छा 
69, आज मावळचे भाजपा नेते आणि माजी उपनगराध्यक्ष यांनी माझ्या उपस्थितीत आपल्या हजारो समर्थकांसहित  मध्ये प्रवेश केला त्यांचं स्वागत आणि शुभेच्छा 
70, राजमाता जिजाऊ माँ साहेबांना पुण्यतिथी निमित्त विनम्र अभिवादन 
71, फेम इंडिया एशिया पोस्ट च्या वतीने देण्यात येणारा श्रेष्ठ सांसद पुरस्कार कॅटॅगरी उर्जावान मला जाहीर झाला आहे श्रेष्ठ सांसद पुरस्कार मिळण्याचे हे सलग दुसरे वर्ष आहे जनतेचे अलोट प्रेम हीच या पुरस्कारामागची खरी उर्जा ही उर्जाच मला सदैव कार्यरत राहण्याची प्रेरणा देते धन्यवाद 
72, या आढावा बैठकीत बारामती तालुक्यातील एकूण  रुग्णांची संख्या बरे झालेले रुग्ण उपचार केलेले रुग्ण तसंच बाहेरील जिल्ह्यातून आलेल्या नागरिकांना विलगीकरण करण्यासंदर्भातील कार्यवाही आदींची माहिती घेतली 
73, आर्थिकदृष्ट्या मागास वर्गाला टक्क्यांवर अधिकचे टक्के आरक्षण देण्यासाठी संसदेत कायद्यात सुधारणा करण्यात आली हा निर्णयही न्यायालयाधीन असल्याने तो काही वेगळा लागेल असे वाटत नाही पण तरीही हे आरक्षण कसे टिकेल व मुलांना न्याय कसा मिळेल यावर मार्ग काढण्याचा आमचा प्रयत्न राहील 
74, राजकीय वादळाला हवं तसं वळवण्याची ताकद असलेल्या सलग निवडणुका जिंकणाऱ्या आदरणीय पवार साहेबांना युतीच्या फुसक्या वाऱ्याची भीती नाही साहेब उमेदवार नसले तरी त्यांच्या मार्गदर्शनाखाली माढाही जिंकू व उर्वरित महाराष्ट्रही आणि हो आमच्या विजयाचा पेढाही तुम्हाला भरवू 
75, हल्लाबोल आंदोलनादरम्यान आज पंढरपूरच्या विठूरायाचे दर्शन घेतले फसव्या आणि निष्क्रिय सरकारविरोधात आम्ही सुरू केलेला हा लढा पूर्णत्वास नेण्याचे बळ विठूमाऊलीकडे मागितले पंढरपूर 
76, स्वातंत्र्यदिनाच्या हार्दिक शुभेच्छा 
77, जवळपास पुस्तकांचा संग्रह व व्यासंग देशपरदेशातील वेगवेगळ्या विद्यापिठांच्या पदव्या मराठी हिंदी इंग्रजी गुजराती बंगाली पाली जर्मन व फ्रेंच अशा देशीविदेशी भाषांवर प्रभुत्व पूर्ण जगासाठी दिशादर्शक व 
78, या महामंडळांच्या लाभार्थ्यांना योग्य अशा योजनाचा लाभ देण्यासाठी महामंडळाच्या अधिकारी व कर्मचाऱ्यांनी मिशन मोडमध्ये काम करावे ते करत असताना सरकार अधिकारी व कर्मचाऱ्यांच्या पाठीमागे खंबीरपणे उभे राहील 
79, कोरोना विषाणूला नियंत्रणात आणण्यासाठी युद्ध पातळीवर प्रयत्न करण्याच्या सूचना केल्या यावेळी डॉक्टर रुग्णवाहिका संख्या व त्यांच्या उपलब्धतेबाबत आढावा घेतला यासोबतच निधीची आवश्यकता भासल्यास तशी मागणी करा तत्काळ निधी उपलब्ध करून दिला जाईल अशी ग्वाही दिली 
80, मंत्रिमंडळातील आमचे सहकारी ना संजय राठोड यांना वाढदिवसाच्या अनेक शुभेच्छा आपणांस सुख समृद्धी यश आणि दीर्घायुरोग्य लाभो हीच मनोकामना 
81, आज लक्ष्मीपूजन दीपावलीतील मुख्य दिवस ही दीपावली सर्वांना मंगलमयी आरोग्यदायी सुख समृद्धी प्रदान करणारी ठरो या मंगल कामना 
82, सर्व समाजांना सोबत घेऊन पाणी सिंचन शेती शिक्षण आरोग्य रोजगार घरे अशा सर्व क्षेत्रात मोठे बदल घडविण्याचे काम गेल्या वर्षात झाले कारंजासारख्या ठिकाणी गर्दीचा उच्चांक आणि जनतेचे आशीर्वाद मला आणखी जोमाने पुढे जाण्याची प्रेरणा देत आहेत महाजनादेशयात्रा 
83, मुंबईतील गिरगावच्या फणसवाडी येथील ऐतिहासिक जगन्नाथ चाळ सार्वजनिक गणेशोत्सव मंडळाला वर्षे झाल्यानिमित्त आज भेट दिली 
84, नाशिक शहरातील कोरोनाच्या वाढत्या रूग्णसंख्येच्या पार्श्वभूमीवर भारतीय जैन संघटना शहरातील विविध सामाजिक संस्था आणि माध्यमातून राबविण्यात येत असलेल्या मिशन नाशिक झिरो या उपक्रमाचे उदघाटन आज नाशिक येथे पार पडले नाशिकमध्ये कोरोनाला अटकाव करण्यासाठी 
85, कोविड व नॉन कोविड रूग्ण या दोघांनाही वेळेत उपचार मिळणं आवश्यक असल्यानं आरोग्य विभागानं याची खबरदारी घ्यावी नागरिकांनी मास्क सॅनिटायझरचा वापर करावा गर्दीच्या ठिकाणी जाणं टाळावं तसंच विनाकारण घराबाहेर पडू नये असं आवाहन नागरिकांना आहे 
86, विमा संरक्षणाची कार्यवाही अंतिम होईपर्यंतच्या कालावधीत कर्तव्यं बजावणाऱ्या संबंधित कर्मचाऱ्याचा कोरोनानं दुर्दैवी मृत्यू झाल्यास त्याच्या कुटुंबियांना राज्य शासनाकडून लाख रुपयांचं सानुग्रह अनुदान देण्यात येईल यासंबंधीचा शासन निर्णय वित्त विभागातर्फे जारी करण्यात आला आहे 
87, हिंदवी स्वराज्याचे शिल्पकार जनसामान्यांचा लाडका राजा आमचे आराध्य दैवत राजाधिराज छत्रपती शिवाजी महाराज यांना जयंतीनिमित्त मानाचा मुजरा शिवजयंतीच्या तमाम देशवासियांना शुभेच्छा 
88, महाराष्ट्राच्या निर्मितीत चव्हाण साहेबांचे महत्त्वपूर्ण योगदान आहे हे राज्य मराठी भाषिकांचे राज्य होण्यासाठी अनेकांनी प्रयत्न केला पण महाराष्ट्राचा मंगलकलश आणण्याचे काम साहेबांनी केले 
